                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        28/04/2014        15:34:59        - 1 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010102   000002455000146012 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000002929000150001 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000003173000163001 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000003722000108005 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000003722000108006 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000007235000105001 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000007235000105002 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000009282000198002 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000014875000142001 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164004 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164005 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164006 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164007 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164008 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164009 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164010 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164011 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164012 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164013 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164014 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164015 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164016 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164017 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164018 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164019 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164020 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164021 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164022 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164023 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164024 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164025 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164026 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164027 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164028 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164029 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164030 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164031 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164032 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164033 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164034 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164035 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164036 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164037 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164038 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164039 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164040 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164041 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164042 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164043 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164044 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164045 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164046 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164047 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164048 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        28/04/2014        15:34:59        - 2 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010102   000015138000164049 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164050 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164051 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164052 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164053 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164054 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164055 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164056 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164057 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164058 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164059 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164060 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164061 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164062 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
010102   000015138000164063 INATIVAR CONTA                                000000306000148      00000000000000000                    0                    0      
