                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                                                                                                
SAIDA DO ARQUIVO 414        18/07/2014        11:47:30        - 1 -                                                                                                                                                                             
                                                                                                                                                                                                                                                
  AGEN    CONTA CARTEIRA CONTRATO DT VENC.   DT PAGTO    TX. CONTRATO   VL REMUN   VL MORAT   VL MULTA           DESP JUD         HONORARIOS            VL TT DIVIDA             VL TX TARIF                                                    
------ -------- -------- -------- ---------- ---------- ------------- ---------- ---------- ---------- ------------------ ------------------ ----------------------- -----------------------                                                    
     2    12408 DDD            74 01.04.1999 29.11.2000          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    12408 DDD            76 01.06.1999 29.11.2000          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    12408 DDD            77 03.05.1999 29.11.2000          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    12408 DDD            81 01.07.1999 29.11.2000          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            88 25.08.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            89 26.07.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            91 25.05.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            94 25.06.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            96 25.03.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            99 26.04.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
     2    70705 422            99 27.09.1999 27.12.2002          0,00       0,00       0,00       0,00               0,00               0,00                    0,00                    0,00                                                    
