                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                                                     --- INICIO DO R
                                                                                                                                                                                                        
CONTAS A SEREM INATIVADAS - CARTEIRA PF        21/05/2014        14:48:09        - 1 -                                                                                                                  
                                                                                                                                                                                                        
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           CUSTOMER-INFO            PHONE                     TOTAL-DELINQ             INTEREST                     
-------- ------------------ --------------------------------------------- -------------------- ------------------------ ----------------- -------------------- --------------------                     
010101   00000287113CPES003 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00000315184RENG001 INATIVAR CONTA3                               000003151000084      00000315184              00000000000000000                    0                    0                     
010101   00001187104CPES005 INATIVAR CONTA3                               000011871000004      00001187104              00000000000000000                    0                    0                     
010101   00001507389CPES002 INATIVAR CONTA3                               000015073000089      00001507389              00000000000000000                    0                    0                     
010101   00002449293CPES001 INATIVAR CONTA3                               000024492000093      00002449293              00000000000000000                    0                    0                     
010101   00002927616CPES002 INATIVAR CONTA3                               000029276000016      00002927616              00000000000000000                    0                    0                     
010101   00004373600RENG001 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00005856884CDCV001 INATIVAR CONTA3                               000058568000084      00005856884              00000000000000000                    0                    0                     
010101   00005980623CPES007 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00006598196RENG003 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00006999506CPES013 INATIVAR CONTA3                               000069995000006      00006999506              00000000000000000                    0                    0                     
010101   00007783540CPES001 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00008565686CPES003 INATIVAR CONTA3                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00009602844CHEP001 INATIVAR CONTA3                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00009761136CPES001 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00010451307CPES001 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00010648275CPES001 INATIVAR CONTA3                               000106482000075      00010648275              00000000000000000                    0                    0                     
010101   00010785264CPES011 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00010785264CPES012 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00010785264CPES013 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00012731595CPES003 INATIVAR CONTA3                               000127315000095      00012731595              00000000000000000                    0                    0                     
010101   00012808059CPES001 INATIVAR CONTA2                               999999999999999      999999999999999          00000000000000000                    0                    0                     
010101   00013022725CPES003 INATIVAR CONTA3                               000130227000025      00013022725              00000000000000000                    0                    0                     
